episode,reward,avg reward,tiles,avg tiles,epsilon
382,-50.6578947368429,-38.9485892000705,14,17.47,0.09199950000000012
383,-34.9845201238398,-39.28702755720243,20,17.42,0.0896245000000001
384,-162.0194029850752,-40.17542082076966,7,17.43,0.08758200000000016
385,-61.80555555555638,-39.93999652284538,10,17.5,0.08520700000000014
386,-16.66666666666713,-39.69032077706068,21,17.57,0.08283200000000013
387,-120.82693602693658,-40.53617402994749,18,17.57,0.08081562500000017
388,-26.282051282052077,-40.05958086198625,22,17.72,0.07844062500000015
389,-35.58282208589034,-39.55725305447636,20,17.89,0.07606562500000014
390,-28.813559322034717,-38.1342013817791,20,18.06,0.07369062500000012
391,11.111111111112054,-37.625927150100594,31,18.21,0.0713156250000001
392,-37.931034482759415,-37.72812906119325,17,18.21,0.06894062500000009
393,-39.59731543624236,-37.36465204373437,17,18.32,0.06656562500000007
394,-38.35616438356221,-37.3502203765332,17,18.32,0.06419062500000017
395,-24.342105263158675,-37.3202850277807,22,18.34,0.06181562500000015
396,-5.66037735849109,-37.6043256244703,24,18.25,0.059440625000000136
397,-37.6854599406536,-38.26323150592811,20,18.07,0.05706562500000012
398,-14.062500000000117,-38.13556382300128,21,18.08,0.054690625000000104
399,-38.40579710145005,-38.376764651158624,16,18.04,0.05231562500000009
400,-37.90849673202692,-38.40101090880146,18,18.05,0.05
401,-112.8176470588237,-38.75794554932433,21,18.2,0.05
402,-27.536231884058775,-38.74517227494458,19,18.19,0.05
403,-44.95412844036774,-38.897054696472,17,18.16,0.05
404,-38.110749185668084,-38.442096614558196,18,18.31,0.05
405,-64.16938110749257,-38.50314526434279,10,18.3,0.05
406,-27.27330960854036,-38.45549001091362,23,18.33,0.05
407,-36.02693602693678,-38.47723797040478,18,18.35,0.05
